Name	Length	EffectiveLength	TPMKO	NumReadKO	TPMCtrl	NumReadsCtrl	Diff
ENSMUST00000223045.2	775	574.611	2599.96	17.9866	0	0	2599.96
ENSMUST00000206783.2	755	554.611	2396.2	16	0	0	2396.2
ENSMUST00000169075.2	375	177.528	2339.36	5	0	0	2339.36
ENSMUST00000104994.3	102	34.0281	2294.01	0.939811	0	0	2294.01
ENSMUST00000220702.2	585	384.611	2159.58	10	0	0	2159.58
ENSMUST00000075537.7	762	561.611	2070.54	14	0	0	2070.54
ENSMUST00000179175.3	2953	2752.61	2045.21	67.7783	0	0	2045.21
ENSMUST00000092750.12	4154	3953.61	1907.83	90.8116	0	0	1907.83
ENSMUST00000099684.4	504	303.634	1869.85	6.8354	0	0	1869.85
ENSMUST00000162294.2	515	314.624	1847.98	7	0	0	1847.98
ENSMUST00000122309.2	2405	2204.61	1698.55	45.0837	0	0	1698.55
ENSMUST00000105738.9	4006	3805.61	1678.32	76.8965	0	0	1678.32
ENSMUST00000215980.2	676	475.611	1550.09	8.87599	0	0	1550.09
ENSMUST00000077375.5	3550	3349.61	1537.41	62	0	0	1537.41
ENSMUST00000123880.8	664	463.611	1433.27	8	0	0	1433.27
ENSMUST00000138385.2	666	465.611	1427.11	8	0	0	1427.11
ENSMUST00000140617.2	1140	939.611	1414.37	16	0	0	1414.37
ENSMUST00000134534.8	436	236.016	1407.7	4	0	0	1407.7
ENSMUST00000137619.2	768	567.611	1316.99	9	0	0	1316.99
ENSMUST00000180014.2	1938	1737.61	1312.06	27.4482	0	0	1312.06
ENSMUST00000178077.2	684	483.611	1233.86	7.18404	0	0	1233.86
ENSMUST00000119226.2	412	212.552	1172.32	3	0	0	1172.32
ENSMUST00000084771.3	1559	1358.61	5074.29	83	3922.34	26.4111	1151.9499999999998
ENSMUST00000220582.2	567	366.612	1132.81	5	0	0	1132.81
ENSMUST00000134828.8	721	520.611	1116.8	7	0	0	1116.8
ENSMUST00000101375.5	966	765.611	2820.7	26	1727.89	6.55647	1092.8099999999997
ENSMUST00000136311.2	233	76.4505	1086.45	1	0	0	1086.45
ENSMUST00000178348.2	672	471.611	1080.35	6.13419	0	0	1080.35
ENSMUST00000099449.4	2571	2370.61	1051.12	30	0	0	1051.12
ENSMUST00000063704.8	1244	1043.61	1034.66	13	0	0	1034.66
ENSMUST00000118386.2	357	161.317	1029.78	2	0	0	1029.78
ENSMUST00000034822.12	2880	2679.61	1022.9	33	0	0	1022.9
ENSMUST00000218019.2	426	226.193	1010.26	2.75119	0	0	1010.26
ENSMUST00000203649.3	2600	2399.61	1003.8	29	0	0	1003.8
ENSMUST00000179797.3	449	248.858	1001.29	3	0	0	1001.29
ENSMUST00000205912.2	595	394.611	986.429	4.68644	0	0	986.429
ENSMUST00000127876.8	719	518.611	960.951	6	0	0	960.951
ENSMUST00000099049.4	675	474.611	951.395	5.43634	0	0	951.395
ENSMUST00000027629.10	9269	9068.61	934.225	102	22.2491	1	911.9759
ENSMUST00000126236.2	484	283.668	878.42	3	0	0	878.42
ENSMUST00000131137.8	494	293.648	848.568	3	0	0	848.568
ENSMUST00000091878.6	2798	2597.61	840.086	26.2728	0	0	840.086
ENSMUST00000072503.13	679	478.611	831.763	4.79281	0	0	831.763
ENSMUST00000194313.2	408	208.685	796.031	2	0	0	796.031
ENSMUST00000135219.2	389	190.558	795.783	1.8257	0	0	795.783
ENSMUST00000137736.8	733	532.611	779.744	5	0	0	779.744
ENSMUST00000085181.5	955	754.611	770.49	7	0	0	770.49
ENSMUST00000221205.2	1815	1614.61	755.313	14.6826	0	0	755.313
ENSMUST00000176114.8	4341	4140.61	753.812	37.5782	0	0	753.812
ENSMUST00000177526.2	1173	972.611	752.24	8.80853	0	0	752.24
ENSMUST00000174700.2	293	110.891	749.022	1	0	0	749.022
ENSMUST00000213225.3	1212	1011.61	734.293	8.94316	0	0	734.293
ENSMUST00000139697.3	540	339.615	733.714	3	0	0	733.714
ENSMUST00000084149.10	2813	2612.61	728.732	22.9219	0	0	728.732
ENSMUST00000197255.2	438	237.987	698.022	2	0	0	698.022
ENSMUST00000085679.13	3105	2904.61	2226.24	77.8516	1528.23	22	698.0099999999998
ENSMUST00000166899.3	1017	816.611	679.383	6.67941	0	0	679.383
ENSMUST00000146303.2	1185	984.611	674.866	8	0	0	674.866
ENSMUST00000239522.1	1567	1366.61	668.559	11	0	0	668.559
ENSMUST00000215334.2	2440	2239.61	667.562	18	0	0	667.562
ENSMUST00000091436.7	11262	11061.6	660.779	88	0	0	660.779
ENSMUST00000108983.4	1497	1296.61	652.14	10.1803	0	0	652.14
ENSMUST00000219827.2	318	129.031	643.724	1	0	0	643.724
ENSMUST00000117907.2	470	269.716	615.906	2	0	0	615.906
ENSMUST00000186120.2	328	136.879	606.813	1	0	0	606.813
ENSMUST00000196717.2	417	217.406	603.728	1.58024	0	0	603.728
ENSMUST00000220871.2	2707	2506.61	741.056	22.3638	150.014	1.86365	591.042
ENSMUST00000217659.2	337	144.21	575.966	1	0	0	575.966
ENSMUST00000045897.15	1216	1015.61	572.483	7	0	0	572.483
ENSMUST00000206334.2	494	293.648	565.712	2	0	0	565.712
ENSMUST00000142950.2	494	293.648	565.712	2	0	0	565.712
ENSMUST00000211679.2	1230	1029.61	564.699	7	0	0	564.699
ENSMUST00000097658.2	2703	2502.61	564.219	17	0	0	564.219
ENSMUST00000137504.3	1909	1708.61	680.576	14	118.089	1	562.4870000000001
ENSMUST00000191006.2	342	148.386	559.758	1	0	0	559.758
ENSMUST00000125415.3	600	399.611	552.119	2.65631	0	0	552.119
ENSMUST00000126262.2	1256	1055.61	550.79	7	0	0	550.79
ENSMUST00000193641.2	346	151.776	547.253	1	0	0	547.253
ENSMUST00000192439.2	811	610.611	544.111	4	0	0	544.111
ENSMUST00000134040.2	661	460.611	540.977	3	0	0	540.977
ENSMUST00000197134.3	2493	2292.61	537.163	14.8267	0	0	537.163
ENSMUST00000177969.2	681	480.611	532.135	3.0791	0	0	532.135
ENSMUST00000056623.13	17152	16951.6	695.776	142	166.637	14	529.1389999999999
ENSMUST00000134946.3	516	315.624	526.323	2	0	0	526.323
ENSMUST00000149339.2	356	160.437	517.712	1	0	0	517.712
ENSMUST00000201155.2	486	285.664	505.327	1.73794	0	0	505.327
ENSMUST00000090043.7	1656	1455.61	490.441	8.59489	0	0	490.441
ENSMUST00000223570.2	335	142.56	481.027	0.82561	0	0	481.027
ENSMUST00000209901.2	549	348.613	476.516	2	0	0	476.516
ENSMUST00000097794.4	1221	1020.61	471.166	5.78951	0	0	471.166
ENSMUST00000128641.2	654	453.611	915.542	5	444.806	1	470.73600000000005
ENSMUST00000119045.2	1443	1242.61	467.902	7	0	0	467.902
ENSMUST00000233104.2	376	178.447	465.46	1	0	0	465.46
ENSMUST00000144388.2	558	357.612	464.525	2	0	0	464.525
ENSMUST00000131338.2	1924	1723.61	578.274	12	117.062	1	461.212
ENSMUST00000075775.6	3993	3792.61	456.486	20.8437	0	0	456.486
ENSMUST00000129374.2	2397	2196.61	453.754	12	0	0	453.754
ENSMUST00000092620.6	635	434.611	447.911	2.34369	0	0	447.911
ENSMUST00000167504.3	944	743.611	446.793	4	0	0	446.793
ENSMUST00000191872.6	1505	1304.61	445.665	7	0	0	445.665
ENSMUST00000208464.2	4545	4344.61	439.713	23	0	0	439.713
ENSMUST00000148549.2	390	191.501	433.732	1	0	0	433.732
ENSMUST00000089906.7	1356	1155.61	431.252	6	0	0	431.252
ENSMUST00000087285.5	2324	2123.61	430.239	11	0	0	430.239
ENSMUST00000187646.2	392	193.39	429.495	1	0	0	429.495
ENSMUST00000129515.8	1366	1165.61	427.553	6	0	0	427.553
ENSMUST00000207344.2	393	194.337	427.403	1	0	0	427.403
ENSMUST00000139177.2	284	104.906	424.801	0.536528	0	0	424.801
ENSMUST00000037565.14	2558	2357.61	422.721	11.9987	0	0	422.721
ENSMUST00000143073.8	594	393.611	422.041	2	0	0	422.041
ENSMUST00000108942.5	1074	873.611	421.821	4.43664	0	0	421.821
ENSMUST00000107684.2	596	395.611	419.907	2	0	0	419.907
ENSMUST00000103274.4	398	199.09	417.198	1	0	0	417.198
ENSMUST00000140404.2	398	199.09	417.198	1	0	0	417.198
ENSMUST00000057311.4	1613	1412.61	411.592	7	0	0	411.592
ENSMUST00000147460.2	807	606.611	410.774	3	0	0	410.774
ENSMUST00000215986.2	605	404.611	410.567	2	0	0	410.567
ENSMUST00000108969.3	1222	1021.61	406.515	5	0	0	406.515
ENSMUST00000214637.3	6157	5956.61	404.381	29	0	0	404.381
ENSMUST00000157019.2	614	413.611	401.633	2	0	0	401.633
ENSMUST00000204084.3	409	209.651	396.183	1	0	0	396.183
ENSMUST00000149012.8	409	209.651	396.183	1	0	0	396.183
ENSMUST00000218734.2	412	212.552	390.774	1	0	0	390.774
ENSMUST00000027706.4	3428	3227.61	386.013	15	0	0	386.013
ENSMUST00000209969.3	1929	1728.61	384.401	8	0	0	384.401
ENSMUST00000144826.2	9797	9596.61	426.095	49.2303	42.05	2	384.045
ENSMUST00000133865.3	417	217.406	382.05	1	0	0	382.05
ENSMUST00000135302.8	639	438.611	378.741	2	0	0	378.741
ENSMUST00000189498.2	421	221.304	375.321	1	0	0	375.321
ENSMUST00000232086.2	1785	1584.61	370.93	7.07658	0	0	370.93
ENSMUST00000209318.2	424	224.235	370.415	1	0	0	370.415
ENSMUST00000143083.3	669	468.611	367.285	2.07217	0	0	367.285
ENSMUST00000031617.13	1270	1069.61	366.958	4.72553	0	0	366.958
ENSMUST00000132663.2	654	453.611	366.217	2	0	0	366.217
ENSMUST00000200624.2	3841	3640.61	364.146	15.9609	0	0	364.146
ENSMUST00000134078.8	428	228.153	364.055	1	0	0	364.055
ENSMUST00000099042.4	669	468.611	362.474	2.04502	0	0	362.474
ENSMUST00000178641.2	672	471.611	360.441	2.04657	0	0	360.441
ENSMUST00000179272.2	675	474.611	359.748	2.05563	0	0	359.748
ENSMUST00000156281.2	432	232.08	357.894	1	0	0	357.894
ENSMUST00000120452.8	1827	1626.61	357.443	7	0	0	357.443
ENSMUST00000122379.2	629	428.611	353.127	1.82223	0	0	353.127
ENSMUST00000163034.8	677	476.611	348.544	2	0	0	348.544
ENSMUST00000172579.4	2587	2386.61	348.025	10	0	0	348.025
ENSMUST00000146070.2	439	238.973	347.571	1	0	0	347.571
ENSMUST00000115574.2	1159	958.611	346.585	4	0	0	346.585
ENSMUST00000066387.6	1405	1204.61	344.759	5	0	0	344.759
ENSMUST00000236444.2	687	486.611	341.381	2	0	0	341.381
ENSMUST00000227614.2	444	243.911	340.535	1	0	0	340.535
ENSMUST00000118044.2	941	740.611	336.452	3	0	0	336.452
ENSMUST00000215589.2	448	247.868	335.098	1	0	0	335.098
ENSMUST00000081987.5	449	248.858	333.502	0.999214	0	0	333.502
ENSMUST00000080443.8	456	255.798	324.709	1	0	0	324.709
ENSMUST00000108924.9	962	761.611	321.938	2.95198	0	0	321.938
ENSMUST00000155235.2	463	262.752	316.116	1	0	0	316.116
ENSMUST00000184925.2	465	264.741	313.741	1	0	0	313.741
ENSMUST00000122051.2	2413	2212.61	403.671	10.7533	91.1903	1	312.4807
ENSMUST00000231741.2	1556	1355.61	306.356	5	0	0	306.356
ENSMUST00000146975.2	472	271.708	305.696	1	0	0	305.696
ENSMUST00000172508.2	473	272.704	304.58	1	0	0	304.58
ENSMUST00000220238.2	2127	1926.61	301.784	7	0	0	301.784
ENSMUST00000036383.4	2133	1932.61	300.847	7	0	0	300.847
ENSMUST00000136754.2	477	276.689	300.193	1	0	0	300.193
ENSMUST00000148762.4	2800	2599.61	299.394	9.37045	0	0	299.394
ENSMUST00000128889.2	478	277.686	299.115	1	0	0	299.115
ENSMUST00000170436.8	761	560.611	296.32	2	0	0	296.32
ENSMUST00000192564.2	481	280.677	295.928	1	0	0	295.928
ENSMUST00000127028.3	771	570.611	291.127	2	0	0	291.127
ENSMUST00000202572.2	780	579.611	286.606	2	0	0	286.606
ENSMUST00000092528.6	1815	1614.61	286.414	5.56762	0	0	286.414
ENSMUST00000079761.8	636	435.611	286.012	1.5	0	0	286.012
ENSMUST00000120234.2	636	435.611	286.012	1.5	0	0	286.012
ENSMUST00000163000.2	491	290.653	285.77	1	0	0	285.77
ENSMUST00000174308.2	491	290.653	285.77	1	0	0	285.77
ENSMUST00000134893.2	496	295.644	280.946	1	0	0	280.946
ENSMUST00000127484.2	496	295.644	276.148	0.982923	0	0	276.148
ENSMUST00000153520.3	503	302.635	274.456	1	0	0	274.456
ENSMUST00000227748.2	503	302.635	274.456	1	0	0	274.456
ENSMUST00000138069.8	503	302.635	274.456	1	0	0	274.456
ENSMUST00000131946.8	473	272.704	272.422	0.89442	0	0	272.422
ENSMUST00000141851.2	507	306.631	270.879	1	0	0	270.879
ENSMUST00000098890.4	508	307.63	270	1	0	0	270.0
ENSMUST00000019925.7	509	308.629	269.126	1	0	0	269.126
ENSMUST00000148300.2	510	309.628	268.257	1	0	0	268.257
ENSMUST00000048478.6	1132	931.611	267.472	3	0	0	267.472
ENSMUST00000227415.2	750	549.611	267.044	1.76704	0	0	267.044
ENSMUST00000034775.10	6785	6584.61	264.899	21	0	0	264.899
ENSMUST00000019701.9	2722	2521.61	263.514	8	0	0	263.514
ENSMUST00000145730.2	516	315.624	263.161	1	0	0	263.161
ENSMUST00000082419.1	519	318.622	260.685	1	0	0	260.685
ENSMUST00000101398.10	1484	1283.61	258.832	4	0	0	258.832
ENSMUST00000099475.12	525	324.619	255.869	1	0	0	255.869
ENSMUST00000165892.8	1665	1464.61	323.992	5.71301	68.8813	0.5	255.1107
ENSMUST00000109012.4	1665	1464.61	323.992	5.71301	68.8813	0.5	255.1107
ENSMUST00000154154.2	1250	1049.61	254.944	3.22168	0	0	254.944
ENSMUST00000220769.2	664	463.611	252.845	1.41129	0	0	252.845
ENSMUST00000177086.2	1519	1318.61	251.962	4	0	0	251.962
ENSMUST00000197216.3	1850	1649.61	251.756	5	0	0	251.756
ENSMUST00000169496.8	532	331.617	250.47	1	0	0	250.47
ENSMUST00000188511.2	536	335.616	247.485	1	0	0	247.485
ENSMUST00000237607.2	539	338.615	245.293	1	0	0	245.293
ENSMUST00000234731.2	540	339.615	244.571	1	0	0	244.571
ENSMUST00000204138.3	540	339.615	244.571	1	0	0	244.571
ENSMUST00000081940.11	541	340.615	243.853	1	0	0	243.853
ENSMUST00000224253.2	1563	1362.61	243.826	4	0	0	243.826
ENSMUST00000173923.9	545	344.614	241.023	1	0	0	241.023
ENSMUST00000188636.2	890	689.611	240.889	2	0	0	240.889
ENSMUST00000223731.2	1241	1040.61	239.455	3	0	0	239.455
ENSMUST00000196381.2	553	352.613	235.556	1	0	0	235.556
ENSMUST00000154444.9	554	353.613	234.89	1	0	0	234.89
ENSMUST00000150113.2	555	354.613	234.227	1	0	0	234.227
ENSMUST00000129300.2	555	354.613	234.227	1	0	0	234.227
ENSMUST00000121185.8	911	710.611	233.771	2	0	0	233.771
ENSMUST00000153096.2	925	724.611	229.254	2	0	0	229.254
ENSMUST00000188702.2	564	363.612	228.43	1	0	0	228.43
ENSMUST00000211459.2	928	727.611	228.309	2	0	0	228.309
ENSMUST00000165853.2	3382	3181.61	291.279	11.1574	63.4172	1	227.8618
ENSMUST00000173525.2	930	729.611	227.683	2	0	0	227.683
ENSMUST00000238583.2	1296	1095.61	227.435	3	0	0	227.435
ENSMUST00000153916.2	567	366.612	226.561	1	0	0	226.561
ENSMUST00000131389.2	1684	1483.61	223.94	4	0	0	223.94
ENSMUST00000217353.2	582	381.611	217.656	1	0	0	217.656
ENSMUST00000124837.2	583	382.611	217.087	1	0	0	217.087
ENSMUST00000156850.3	583	382.611	217.087	1	0	0	217.087
ENSMUST00000138643.2	2521	2320.61	214.754	6	0	0	214.754
ENSMUST00000174278.8	799	598.611	212.262	1.52977	0	0	212.262
ENSMUST00000201505.2	592	391.611	212.098	1	0	0	212.098
ENSMUST00000230385.2	592	391.611	212.098	1	0	0	212.098
ENSMUST00000180077.7	602	401.611	206.817	1	0	0	206.817
ENSMUST00000211694.2	604	403.611	205.792	1	0	0	205.792
ENSMUST00000205244.3	607	406.611	204.274	1	0	0	204.274
ENSMUST00000180856.2	608	407.611	203.773	1	0	0	203.773
ENSMUST00000132141.8	608	407.611	203.773	1	0	0	203.773
ENSMUST00000151129.8	611	410.611	202.284	1	0	0	202.284
ENSMUST00000187905.7	611	410.611	202.284	1	0	0	202.284
ENSMUST00000115231.4	612	411.611	201.792	1	0	0	201.792
ENSMUST00000113820.9	1439	1238.61	201.177	3	0	0	201.177
ENSMUST00000195905.5	6823	6622.61	200.67	16	0	0	200.67
ENSMUST00000212584.2	616	415.611	199.85	1	0	0	199.85
ENSMUST00000092880.14	2700	2499.61	199.375	6	0	0	199.375
ENSMUST00000143270.2	617	416.611	199.371	1	0	0	199.371
ENSMUST00000079251.8	618	417.611	198.893	1	0	0	198.893
ENSMUST00000238010.2	3960	3759.61	198.834	9	0	0	198.834
ENSMUST00000150748.2	619	418.611	198.418	1	0	0	198.418
ENSMUST00000133460.2	619	418.611	198.418	1	0	0	198.418
ENSMUST00000121241.2	619	418.611	198.418	1	0	0	198.418
ENSMUST00000202934.4	622	421.611	197.006	0.999999	0	0	197.006
ENSMUST00000173250.2	626	425.611	195.155	1	0	0	195.155
ENSMUST00000176505.8	3207	3006.61	193.381	7	0	0	193.381
ENSMUST00000123465.8	630	429.611	193.335	0.999985	0	0	193.335
ENSMUST00000144027.2	875	674.611	192.796	1.56589	0	0	192.796
ENSMUST00000220090.2	632	431.611	192.442	1	0	0	192.442
ENSMUST00000208225.2	636	435.611	190.675	1	0	0	190.675
ENSMUST00000153941.8	3927	3726.61	512.632	23	324.856	6	187.77599999999995
ENSMUST00000127656.3	641	440.611	187.697	0.995681	0	0	187.697
ENSMUST00000125801.8	645	444.611	186.815	1	0	0	186.815
ENSMUST00000155325.2	648	447.611	185.563	1	0	0	185.563
ENSMUST00000203630.2	649	448.611	185.149	1	0	0	185.149
ENSMUST00000073410.12	1430	1229.61	184.784	2.73553	0	0	184.784
ENSMUST00000176227.2	650	449.611	184.737	1	0	0	184.737
ENSMUST00000151385.2	653	452.611	183.513	1	0	0	183.513
ENSMUST00000151425.2	654	453.611	183.108	1	0	0	183.108
ENSMUST00000138874.2	654	453.611	183.108	1	0	0	183.108
ENSMUST00000127027.2	2667	2466.61	262.871	7.80642	81.8	1	181.07099999999997
ENSMUST00000179264.2	672	471.611	180.854	1.02688	0	0	180.854
ENSMUST00000031838.9	4345	4144.61	180.364	9	0	0	180.364
ENSMUST00000143858.2	664	463.611	179.159	1	0	0	179.159
ENSMUST00000231942.2	2521	2320.61	178.961	5	0	0	178.961
ENSMUST00000209251.2	665	464.611	178.773	1	0	0	178.773
ENSMUST00000091978.12	2998	2797.61	178.138	6	0	0	178.138
ENSMUST00000179839.8	681	480.611	176.613	1.02194	0	0	176.613
ENSMUST00000174526.2	672	471.611	176.12	1	0	0	176.12
ENSMUST00000146482.3	672	471.611	176.12	1	0	0	176.12
ENSMUST00000188914.7	1494	1293.61	331.474	5.16251	155.973	1	175.50099999999998
ENSMUST00000226309.2	677	476.611	174.272	1	0	0	174.272
ENSMUST00000194953.2	3541	3340.61	174.046	7	0	0	174.046
ENSMUST00000136825.2	680	479.611	173.182	1	0	0	173.182
ENSMUST00000113730.3	682	481.611	172.463	1	0	0	172.463
ENSMUST00000174558.2	4073	3872.61	171.585	8	0	0	171.585
ENSMUST00000152214.4	686	485.611	171.042	1	0	0	171.042
ENSMUST00000152145.2	688	487.611	170.341	1	0	0	170.341
ENSMUST00000126560.2	688	487.611	170.341	1	0	0	170.341
ENSMUST00000189300.2	692	491.611	168.955	1	0	0	168.955
ENSMUST00000114041.3	697	496.611	167.254	1	0	0	167.254
ENSMUST00000193435.6	697	496.611	167.254	1	0	0	167.254
ENSMUST00000121558.2	646	445.611	166.931	0.895575	0	0	166.931
ENSMUST00000209536.2	699	498.611	166.583	1	0	0	166.583
ENSMUST00000194623.2	700	499.611	166.249	1	0	0	166.249
ENSMUST00000172557.2	700	499.611	166.249	1	0	0	166.249
ENSMUST00000225748.2	1705	1504.61	165.611	3	0	0	165.611
ENSMUST00000121228.2	704	503.611	164.929	1	0	0	164.929
ENSMUST00000172539.8	707	506.611	163.952	1	0	0	163.952
ENSMUST00000238648.2	707	506.611	163.952	1	0	0	163.952
ENSMUST00000236381.2	707	506.611	163.952	1	0	0	163.952
ENSMUST00000183139.2	709	508.611	163.308	1	0	0	163.308
ENSMUST00000081742.7	2762	2561.61	162.125	5	0	0	162.125
ENSMUST00000109051.8	3382	3181.61	160.806	6.15966	0	0	160.806
ENSMUST00000213734.2	720	519.611	159.85	1	0	0	159.85
ENSMUST00000228305.2	722	521.611	159.237	1	0	0	159.237
ENSMUST00000201277.2	723	522.611	158.933	1	0	0	158.933
ENSMUST00000188205.2	725	524.611	158.327	1	0	0	158.327
ENSMUST00000146111.2	726	525.611	158.026	1	0	0	158.026
ENSMUST00000196038.2	734	533.611	155.656	1	0	0	155.656
ENSMUST00000131168.8	736	535.611	155.075	1	0	0	155.075
ENSMUST00000224898.2	3416	3215.61	154.981	6	0	0	154.981
ENSMUST00000215124.2	629	428.611	154.72	0.798396	0	0	154.72
ENSMUST00000222581.2	2581	2380.61	154.013	4.41421	0	0	154.013
ENSMUST00000126684.2	740	539.611	153.926	1	0	0	153.926
ENSMUST00000163640.2	744	543.611	152.793	1	0	0	152.793
ENSMUST00000127134.2	1841	1640.61	151.882	3	0	0	151.882
ENSMUST00000193078.6	750	549.611	151.125	1	0	0	151.125
ENSMUST00000220116.2	751	550.611	150.851	1	0	0	150.851
ENSMUST00000142998.8	752	551.611	150.577	1	0	0	150.577
ENSMUST00000173668.2	753	552.611	150.305	1	0	0	150.305
ENSMUST00000058914.10	1982	1781.61	150.172	3.22115	0	0	150.172
ENSMUST00000205633.2	755	554.611	149.763	1	0	0	149.763
ENSMUST00000122151.2	635	434.611	149.438	0.781931	0	0	149.438
ENSMUST00000152774.2	758	557.611	148.957	1	0	0	148.957
ENSMUST00000174757.8	759	558.611	148.69	1	0	0	148.69
ENSMUST00000138605.2	635	434.611	147.294	0.770714	0	0	147.294
ENSMUST00000091829.4	5720	5519.61	146.917	9.76313	0.00088045	2.40857e-05	146.91611955
ENSMUST00000215226.2	3034	2833.61	146.562	5	0	0	146.562
ENSMUST00000153554.8	770	569.611	145.819	1	0	0	145.819
ENSMUST00000103172.4	1911	1710.61	145.667	3	0	0	145.667
ENSMUST00000218001.2	772	571.611	145.309	1	0	0	145.309
ENSMUST00000048061.13	1361	1160.61	143.132	2	0	0	143.132
ENSMUST00000153058.8	781	580.611	143.056	1	0	0	143.056
ENSMUST00000178025.2	785	584.611	142.077	1	0	0	142.077
ENSMUST00000173991.8	786	585.611	141.835	1	0	0	141.835
ENSMUST00000200764.2	788	587.611	141.352	1	0	0	141.352
ENSMUST00000151732.2	789	588.611	141.112	1	0	0	141.112
ENSMUST00000145164.8	789	588.611	141.112	1	0	0	141.112
ENSMUST00000112547.8	2001	1800.61	138.386	3	0	0	138.386
ENSMUST00000233638.2	801	600.611	138.292	1	0	0	138.292
ENSMUST00000127294.8	801	600.611	138.292	1	0	0	138.292
ENSMUST00000132046.2	803	602.611	137.834	1	0	0	137.834
ENSMUST00000173035.2	1406	1205.61	137.789	2	0	0	137.789
ENSMUST00000132883.8	2505	2304.61	137.709	3.82092	0	0	137.709
ENSMUST00000191227.2	820	619.611	134.052	1	0	0	134.052
ENSMUST00000113343.8	3301	3100.61	133.941	5	0	0	133.941
ENSMUST00000109060.8	1911	1710.61	133.911	2.75787	0	0	133.911
ENSMUST00000143066.2	824	623.611	133.192	1	0	0	133.192
ENSMUST00000191441.2	638	437.611	133.049	0.700984	0	0	133.049
ENSMUST00000195114.2	826	625.611	132.766	1	0	0	132.766
ENSMUST00000195472.2	827	626.611	132.554	1	0	0	132.554
ENSMUST00000223338.2	1457	1256.61	132.197	2	0	0	132.197
ENSMUST00000216208.3	5245	5044.61	131.721	8	0	0	131.721
ENSMUST00000198046.2	4006	3805.61	130.954	6	0	0	130.954
ENSMUST00000154289.2	836	635.611	130.677	1	0	0	130.677
ENSMUST00000117758.2	841	640.611	129.657	1	0	0	129.657
ENSMUST00000227874.2	816	615.611	129.09	0.956769	0	0	129.09
ENSMUST00000115535.3	2784	2583.61	128.595	4	0	0	128.595
ENSMUST00000133107.2	848	647.611	128.256	1	0	0	128.256
ENSMUST00000004072.10	851	650.611	127.665	1	0	0	127.665
ENSMUST00000172070.8	2153	1952.61	127.613	2.99999	0	0	127.613
ENSMUST00000212755.2	1504	1303.61	127.431	2	0	0	127.431
ENSMUST00000228263.2	857	656.611	126.498	1	0	0	126.498
ENSMUST00000000304.14	858	657.611	126.306	1	0	0	126.306
ENSMUST00000219419.2	1516	1315.61	126.268	2	0	0	126.268
ENSMUST00000020203.7	861	660.611	125.732	1	0	0	125.732
ENSMUST00000082392.1	957	756.611	658.674	6	533.349	2	125.32499999999993
ENSMUST00000218559.2	980	779.611	124.628	1.16977	0	0	124.628
ENSMUST00000222266.2	1804	1603.61	124.574	2.40511	0	0	124.574
ENSMUST00000172035.8	6213	6012.61	124.329	9	0	0	124.329
ENSMUST00000228680.2	6717	6516.61	123.88	9.7192	0	0	123.88
ENSMUST00000145957.2	876	675.611	122.941	1	0	0	122.941
